Customer_ID,Quarter,Satisfaction_Score,Customer_Status,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Category,Churn_Reason,inter_ID,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,trans_ID,Count,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code
0002-ORFBO,Q3,3,Stayed,No,0.0,65,2205.0,,,4007,True,2,9,,True,42.39,False,True,Cable,16.0,False,True,False,True,True,False,False,True,One Year,True,Credit Card,65.6,593.3,0.0,0.0,381.51,974.81,263,1,Female,37,False,False,True,False,0,United States,California,Frazier Park,93225
0003-MKNFE,Q3,5,Stayed,No,0.0,66,5414.0,,,4789,False,0,9,,True,10.69,True,True,Cable,10.0,False,False,False,False,False,True,True,False,Month-to-Month,False,Credit Card,59.9,542.4,38.33,10.0,96.21,610.28,2917,1,Male,46,False,False,False,False,0,United States,California,Glendale,91206
0004-TLHLJ,Q3,1,Churned,Yes,1.0,71,4479.0,Competitor,Competitor had better devices,1902,False,0,4,Offer E,True,33.65,False,True,Fiber Optic,30.0,False,False,True,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,73.9,280.85,0.0,0.0,134.6,415.45,3774,1,Male,50,False,False,False,False,0,United States,California,Costa Mesa,92627
0011-IGKFF,Q3,1,Churned,Yes,1.0,91,3714.0,Dissatisfaction,Product dissatisfaction,396,True,1,13,Offer D,True,27.82,False,True,Fiber Optic,4.0,False,True,True,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,98.0,1237.85,0.0,0.0,361.66,1599.51,736,1,Male,78,False,True,True,False,0,Country,California,Martinez,94553
0013-EXCHZ,Q3,1,Churned,Yes,1.0,68,3464.0,Dissatisfaction,Network reliability,369,True,3,3,,True,7.38,False,True,Fiber Optic,11.0,False,False,False,True,True,False,False,True,Month-to-Month,True,Credit Card,83.9,267.4,0.0,0.0,22.14,289.54,709,1,Female,75,False,True,True,False,0,Country,California,Camarillo,93010
0013-MHZWF,Q3,3,Stayed,No,0.0,55,5108.0,,,3310,False,0,9,Offer E,True,16.77,False,True,Cable,73.0,False,False,False,True,True,True,True,True,Month-to-Month,True,Credit Card,69.4,571.45,0.0,0.0,150.93,722.38,5182,1,Female,23,True,False,False,True,3,United States,California,Midpines,95345
0013-SMEOE,Q3,3,Stayed,No,0.0,26,5011.0,,,708,True,1,71,Offer A,True,9.96,False,True,Fiber Optic,14.0,True,True,True,True,True,True,True,True,Two Year,True,Bank Withdrawal,109.7,7904.25,0.0,0.0,707.16,8611.41,1048,1,Female,67,False,True,True,False,0,United States,California,Lompoc,93437
0014-BMAQU,Q3,4,Stayed,No,0.0,49,4604.0,,,4226,True,8,63,Offer B,True,12.96,True,True,Fiber Optic,7.0,True,False,False,True,False,False,False,False,Two Year,True,Credit Card,84.65,5377.8,0.0,20.0,816.48,6214.28,2354,1,Male,52,False,False,True,False,0,United States,California,Napa,94558
0015-UOCOJ,Q3,3,Stayed,No,0.0,34,5525.0,,,696,False,0,7,Offer E,True,10.53,False,True,DSL,21.0,True,False,False,False,False,False,False,True,Two Year,True,Bank Withdrawal,48.2,340.35,0.0,0.0,73.71,414.06,1036,1,Female,68,False,True,False,False,0,United States,California,Simi Valley,93063
0016-QLJIS,Q3,3,Stayed,No,0.0,25,5509.0,,,5576,True,3,65,,True,28.46,True,True,Cable,14.0,True,True,True,True,True,True,True,True,Two Year,True,Credit Card,90.45,5957.9,0.0,0.0,1849.9,7807.8,3704,1,Female,43,False,False,True,True,1,United States,California,Sheridan,95681
0017-DINOC,Q3,4,Stayed,No,0.0,54,5435.0,,,3819,False,0,54,,False,0.0,False,True,Cable,10.0,True,False,False,True,True,False,False,True,Two Year,False,Credit Card,45.2,2460.55,0.0,0.0,0.0,2460.55,75,1,Male,47,False,False,False,False,0,United States,California,Rancho Santa Fe,92091
0017-IUDMW,Q3,3,Stayed,No,0.0,52,6252.0,,,5247,True,2,72,,True,16.01,True,True,Fiber Optic,59.0,True,True,True,True,True,True,True,True,Two Year,True,Credit Card,116.8,8456.75,0.0,0.0,1152.72,9609.47,3375,1,Female,25,True,False,True,True,2,United States,California,Sunnyvale,94086
